timestamp,ROI,Token Price,Trade Volume
1565545110000,1.0,2.726304506496737,0.00
1565555110000,1.000350814564333,2.7646003683273337,6485.97
1565565110000,1.0,2.7646003683273337,0.00
1565575330000,1.0,2.7646003683273337,0.00
1565585370000,1.0,2.7646003683273337,0.00
1565595420000,1.0,2.7646003683273337,0.00
1565605620000,1.0,2.7646003683273337,0.00
1565615650000,1.0,2.7646003683273337,0.00
1565625650000,1.0,2.7646003683273337,0.00
1565635650000,1.0,2.7646003683273337,0.00
1565645660000,1.0,2.7646003683273337,0.00
1565655690000,1.0,2.7646003683273337,0.00
1565665920000,1.0,2.7646003683273337,0.00
1565675940000,1.0,2.7646003683273337,0.00
1565686180000,1.0,2.7646003683273337,0.00
1565696210000,1.0,2.7646003683273337,0.00
1565706270000,1.0,2.7646003683273337,0.00
1565716270000,1.0,2.7646003683273337,0.00
1565726270000,1.0006933408072998,2.4725607382352193,14377.38
1565736270000,1.0003442791051853,2.986535064124949,6626.06
1565746550000,1.0,2.986535064124949,0.00
1565756590000,1.0,2.986535064124949,0.00
1565766640000,1.0,2.986535064124949,0.00
1565776800000,1.0,2.986535064124949,0.00
1565786810000,1.0000554973943205,2.899230569665451,1000.00
1565796810000,1.0,2.899230569665451,0.00
1565806810000,1.0006913788378888,2.4667917726744153,14291.07
1565816820000,1.000061185349782,2.548876181005826,1196.51
1565826840000,1.0,2.548876181005826,0.00
1565837130000,1.0,2.548876181005826,0.00
1565847140000,1.0,2.548876181005826,0.00
1565857280000,1.0008238222607162,2.401777365370768,17820.09
1565867380000,1.0,2.401777365370768,0.00
1565877400000,1.0,2.401777365370768,0.00
1565887400000,1.0,2.401777365370768,0.00
1565897400000,1.000493026310806,2.7878684501743,9619.55
1565907420000,1.0,2.7878684501743,0.00
1565917510000,1.0,2.7878684501743,0.00
1565927770000,1.0,2.7878684501743,0.00
1565937790000,1.0,2.7878684501743,0.00
1565947980000,1.0,2.7878684501743,0.00
1565958030000,1.0,2.7878684501743,0.00
1565968030000,1.0,2.7878684501743,0.00
1565978030000,1.0,2.7878684501743,0.00
1565988030000,1.0001117962418613,2.6249389555590192,2123.00
1565998030000,1.0,2.6249389555590192,0.00
1566008110000,1.0,2.6249389555590192,0.00
1566018110000,1.0,2.6249389555590192,0.00
1566028130000,1.0,2.6249389555590192,0.00
1566038150000,1.0001794927505672,2.653616912010244,3483.05
1566048160000,1.0,2.653616912010244,0.00
1566058160000,1.0000201444978085,2.62532590364623,382.69
1566068160000,1.0,2.62532590364623,0.00
1566078160000,1.0,2.62532590364623,0.00
1566088250000,1.0,2.62532590364623,0.00
1566098270000,1.0,2.62532590364623,0.00
1566108270000,1.0003625239785343,3.213706448930967,6888.83
1566118360000,1.000115020714286,3.020557226674669,2038.00
1566128380000,1.0000555948106287,2.932104335671217,1000.00
1566138380000,1.0014053788600137,1.676299858464812,31129.48
1566148380000,1.0009894721943762,2.625848125052853,21873.15
1566158380000,1.0,2.625848125052853,0.00
1566168390000,1.0,2.625848125052853,0.00
1566178620000,1.0008653846010491,2.646916632668311,16470.78
1566188640000,1.0,2.646916632668311,0.00
1566198700000,1.0,2.646916632668311,0.00
1566208900000,1.0001976241253983,2.6439475388311178,3860.27
1566219050000,1.0,2.6439475388311178,0.00
1566229050000,1.0,2.6439475388311178,0.00
1566239070000,1.000058693613583,2.728258948741321,1117.08
1566249080000,1.0,2.728258948741321,0.00
1566259080000,1.0,2.728258948741321,0.00
1566269250000,1.0,2.728258948741321,0.00
1566279250000,1.0,2.728258948741321,0.00
1566289360000,1.0,2.728258948741321,0.00
1566299440000,1.0,2.728258948741321,0.00
1566309450000,1.0,2.728258948741321,0.00
1566319460000,1.0,2.728258948741321,0.00
1566329460000,1.0,2.728258948741321,0.00
1566339460000,1.0,2.728258948741321,0.00
1566349510000,1.0,2.728258948741321,0.00
1566359630000,1.0,2.728258948741321,0.00
1566369670000,1.0,2.728258948741321,0.00
1566379810000,1.0,2.728258948741321,0.00
1566389820000,1.0,2.728258948741321,0.00
1566399820000,1.0,2.728258948741321,0.00
1566409820000,1.0,2.728258948741321,0.00
1566419830000,1.0,2.728258948741321,0.00
1566429830000,1.0,2.728258948741321,0.00
1566440020000,1.0003026474875805,2.307761926749157,6164.42
1566450040000,1.0,2.307761926749157,0.00
1566460070000,1.0002022392543317,2.5768591806674337,4122.33
1566470160000,1.0000398064998335,2.6321659072127956,767.98
1566480170000,1.0,2.6321659072127956,0.00
1566490180000,1.0,2.6321659072127956,0.00
1566500180000,1.0,2.6321659072127956,0.00
1566510190000,1.0,2.6321659072127956,0.00
1566520240000,1.0,2.6321659072127956,0.00
1566530460000,1.0,2.6321659072127956,0.00
1566540460000,1.0,2.6321659072127956,0.00
1566550660000,1.0,2.6321659072127956,0.00
1566560660000,1.0,2.6321659072127956,0.00
1566570660000,1.0,2.6321659072127956,0.00
1566580660000,1.0,2.6321659072127956,0.00
1566590660000,1.0,2.6321659072127956,0.00
1566600670000,1.0,2.6321659072127956,0.00
1566610730000,1.0000683949293687,2.7303604432095203,1305.69
1566620750000,1.0,2.7303604432095203,0.00
1566630780000,1.0,2.7303604432095203,0.00
1566640820000,1.0,2.7303604432095203,0.00
1566650830000,1.0005616555351438,2.684394150574108,11423.76
1566660830000,1.0,2.684394150574108,0.00
1566670830000,1.0,2.684394150574108,0.00
1566680840000,1.0,2.684394150574108,0.00
1566690850000,1.0000198891967378,2.6561367566694267,378.27
1566700860000,1.0,2.6561367566694267,0.00
1566710880000,1.0,2.6561367566694267,0.00
1566720890000,1.0,2.6561367566694267,0.00
1566730900000,1.00005703446252,2.5764568079325345,1100.00
1566740900000,1.0000495825058884,2.6456072757898155,957.62
1566750900000,1.0,2.6456072757898155,0.00
1566760900000,1.0,2.6456072757898155,0.00
1566770900000,1.0,2.6456072757898155,0.00
1566780910000,1.0,2.6456072757898155,0.00
1566791120000,1.0,2.6456072757898155,0.00
1566801120000,1.0,2.6456072757898155,0.00
1566811340000,1.0,2.6456072757898155,0.00
1566821360000,1.0,2.6456072757898155,0.00
1566831360000,1.0,2.6456072757898155,0.00
1566841360000,1.0,2.6456072757898155,0.00
1566851370000,1.0,2.6456072757898155,0.00
1566861370000,1.0,2.6456072757898155,0.00
1566871670000,1.0,2.6456072757898155,0.00
1566881710000,1.0,2.6456072757898155,0.00
1566891750000,1.0,2.6456072757898155,0.00
1566901960000,1.0,2.6456072757898155,0.00
1566911960000,1.0,2.6456072757898155,0.00
1566921960000,1.0,2.6456072757898155,0.00
1566931960000,1.0,2.6456072757898155,0.00
1566941990000,1.0,2.6456072757898155,0.00
1566952060000,1.0,2.6456072757898155,0.00
1566962250000,1.0,2.6456072757898155,0.00
1566972280000,1.0,2.6456072757898155,0.00
1566982440000,1.0,2.6456072757898155,0.00
1566992450000,1.0,2.6456072757898155,0.00
1567002450000,1.0,2.6456072757898155,0.00
1567012450000,1.0,2.6456072757898155,0.00
1567022450000,1.0001522552552613,2.873027049023971,2902.32
1567032460000,1.0,2.873027049023971,0.00
1567042600000,1.0,2.873027049023971,0.00
1567052640000,1.0,2.873027049023971,0.00
1567062670000,1.0,2.873027049023971,0.00
1567072800000,1.0,2.873027049023971,0.00
1567082810000,1.0,2.873027049023971,0.00
1567092810000,1.0,2.873027049023971,0.00
1567102810000,1.0,2.873027049023971,0.00
1567112820000,1.000561243328673,3.113899877020223,11330.70
1567122830000,1.0,3.113899877020223,0.00
1567133030000,1.0000177045632763,3.0847131592380532,325.91
1567143030000,1.0001225359507229,2.8874041294996604,2331.35
1567153210000,1.0,2.8874041294996604,0.00
1567163290000,1.0,2.8874041294996604,0.00
1567173300000,1.0008222400215878,1.7655018570247945,20000.00
1567183300000,1.000588768163667,2.479397462351981,14350.26
1567193300000,1.0,2.479397462351981,0.00
1567203310000,1.0,2.479397462351981,0.00
1567213320000,1.0,2.479397462351981,0.00
1567223350000,1.0,2.479397462351981,0.00
1567233350000,1.0,2.479397462351981,0.00
1567243390000,1.0,2.479397462351981,0.00
1567253410000,1.0,2.479397462351981,0.00
1567263410000,1.0,2.479397462351981,0.00
1567273410000,1.000400277401004,2.8625612015253012,8867.48
1567283410000,1.0000844308429124,2.7357489026481345,1805.00
1567293410000,1.0,2.7357489026481345,0.00
1567303480000,1.0,2.7357489026481345,0.00
1567313480000,1.0,2.7357489026481345,0.00
1567323480000,1.0,2.7357489026481345,0.00
1567333490000,1.0,2.7357489026481345,0.00
1567343500000,1.0,2.7357489026481345,0.00
