timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1548696340000,489655.49,0.00,806162.06,466249.83,295356.03,0.00,0.00,0.00,0.00
1548706340000,507038.08,0.00,982097.81,1002472.42,361646.86,0.00,0.00,0.00,0.00
1548716340000,552210.63,0.00,987047.81,1101356.42,396646.86,0.00,0.00,0.00,0.00
1548726340000,668970.06,0.00,987047.81,1674565.93,407111.34,0.00,0.00,0.00,0.00
1548736340000,688187.64,0.00,987047.81,1674565.93,407111.34,0.00,0.00,0.00,0.00
1548746340000,693597.64,0.00,987047.81,1700166.92,407111.34,0.00,0.00,0.00,0.00
1548756340000,757935.21,0.00,987047.81,1733166.92,407111.34,0.00,0.00,0.00,0.00
1548766350000,757716.41,0.00,987047.81,1733166.92,407111.34,0.00,0.00,0.00,0.00
1548776350000,780364.88,0.00,974111.35,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548786350000,793342.15,0.00,974111.35,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548796350000,842511.20,0.00,974592.57,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548806350000,842511.20,0.00,1008227.34,1702974.35,407111.34,0.00,0.00,0.00,0.00
1548816350000,863239.30,0.00,1008227.34,1702974.35,407111.34,0.00,0.00,0.00,0.00
1548826350000,864750.52,0.00,1008227.34,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548836350000,864750.52,0.00,1008227.34,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548846350000,863799.35,0.00,1008227.34,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548856370000,863799.35,0.00,1008227.34,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548866370000,874965.53,0.00,1008227.34,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548876370000,874965.53,0.00,1021163.79,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548886370000,874965.53,0.00,1021163.79,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548896380000,1002538.72,0.00,1015732.58,1922243.03,407111.34,0.00,0.00,0.00,0.00
1548906390000,1002315.89,0.00,1015732.58,1922243.03,407111.34,0.00,0.00,0.00,0.00
1548916410000,1003443.47,0.00,1015732.58,2165891.60,407111.34,0.00,0.00,0.00,0.00
1548926450000,1006131.68,0.00,1115732.58,2341992.60,407111.34,0.00,0.00,0.00,0.00
1548936490000,1000937.06,0.00,1115732.58,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548946550000,1000826.80,0.00,1115732.58,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548956620000,1000744.42,0.00,1115732.58,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548966710000,1000617.65,0.00,1148353.89,2369810.39,389188.54,0.00,0.00,0.00,0.00
1548976740000,1000565.29,0.00,1153353.89,2369810.39,389188.54,0.00,0.00,0.00,0.00
1548986770000,998271.65,0.00,1176088.65,2369810.39,384953.02,0.00,0.00,0.00,0.00
