timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1548826350000,899.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548836350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548846350000,986.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548856370000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548866370000,10133.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548876370000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548886370000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548896380000,7490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548906390000,6212.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548916410000,2925.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548926450000,2799.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548936490000,5210.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548946550000,110.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548956620000,82.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548966710000,307.43,0.00,32484.37,9590.34,17976.73,0.00,0.00,0.00,0.00
1548976740000,52.51,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00
1548986770000,2300.55,0.00,22734.77,0.00,4248.26,0.00,0.00,0.00,0.00
1548996900000,0.00,0.00,12454.44,0.00,0.00,0.00,0.00,0.00,0.00
1549006930000,155.80,0.00,6587.64,0.00,6607.46,0.00,0.00,0.00,0.00
1549017020000,1577.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549027100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549037280000,155.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549047390000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549057480000,2432.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549067600000,10919.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549077780000,77.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549087950000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549098140000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549108270000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549118460000,238.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549128610000,830.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549138840000,154.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549148920000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549159030000,79.35,0.00,0.00,301764.04,0.00,0.00,0.00,0.00,0.00
1549169280000,1221.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
