provider,eth
​0x27CEb9CB4692Df4dFc790e86c6f38fD17ef77e77,397144.11
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,72602.72
​0xb00493ef3d9c2F59701708112a1fcc61982B1B92,54074.85
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,43595.91
​0x2f37887F606684815Eca0082428C2644E0467234,35434.65
​0x73cf2c29D81671774F455203009b03479DfbA225,31485.94
​0x94a96F9E196a113Dec20e8bD951A0fAa21FCc7ac,28049.74
Other,11938.12
