timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1548696340000,489655.49,806162.06,0.00,466249.83,295356.03,0.00,0.00,0.00,0.00
1548706340000,507038.08,982097.81,0.00,1002472.42,361646.86,0.00,0.00,0.00,0.00
1548716340000,552210.63,987047.81,0.00,1101356.42,396646.86,0.00,0.00,0.00,0.00
1548726340000,668970.06,987047.81,0.00,1674565.93,407111.34,0.00,0.00,0.00,0.00
1548736340000,688187.64,987047.81,0.00,1674565.93,407111.34,0.00,0.00,0.00,0.00
1548746340000,693597.64,987047.81,0.00,1700166.92,407111.34,0.00,0.00,0.00,0.00
1548756340000,757935.21,987047.81,0.00,1733166.92,407111.34,0.00,0.00,0.00,0.00
1548766350000,757716.41,987047.81,0.00,1733166.92,407111.34,0.00,0.00,0.00,0.00
1548776350000,780364.88,974111.35,0.00,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548786350000,793342.15,974111.35,0.00,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548796350000,842511.20,974592.57,0.00,1689974.35,407111.34,0.00,0.00,0.00,0.00
1548806350000,842511.20,1008227.34,0.00,1702974.35,407111.34,0.00,0.00,0.00,0.00
1548816350000,863239.30,1008227.34,0.00,1702974.35,407111.34,0.00,0.00,0.00,0.00
1548826350000,864750.52,1008227.34,0.00,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548836350000,864750.52,1008227.34,0.00,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548846350000,863799.35,1008227.34,0.00,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548856370000,863799.35,1008227.34,0.00,1751630.97,407111.34,0.00,0.00,0.00,0.00
1548866370000,874965.53,1008227.34,0.00,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548876370000,874965.53,1021163.79,0.00,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548886370000,874965.53,1021163.79,0.00,1938910.31,407111.34,0.00,0.00,0.00,0.00
1548896380000,1002538.72,1015732.58,0.00,1922243.03,407111.34,0.00,0.00,0.00,0.00
1548906390000,1002315.89,1015732.58,0.00,1922243.03,407111.34,0.00,0.00,0.00,0.00
1548916410000,1003443.47,1015732.58,0.00,2165891.60,407111.34,0.00,0.00,0.00,0.00
1548926450000,1006131.68,1115732.58,0.00,2341992.60,407111.34,0.00,0.00,0.00,0.00
1548936490000,1000937.06,1115732.58,0.00,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548946550000,1000826.80,1115732.58,0.00,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548956620000,1000744.42,1115732.58,0.00,2379371.95,407111.34,0.00,0.00,0.00,0.00
1548966710000,1000617.65,1148353.89,0.00,2369810.39,389188.54,0.00,0.00,0.00,0.00
1548976740000,1000565.29,1153353.89,0.00,2369810.39,389188.54,0.00,0.00,0.00,0.00
1548986770000,998271.65,1176088.65,0.00,2369810.39,384953.02,0.00,0.00,0.00,0.00
1548996900000,998271.65,1188543.10,0.00,2369810.39,384953.02,0.00,0.00,0.00,0.00
1549006930000,998116.31,1195130.74,0.00,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549017020000,996693.08,1195130.74,0.00,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549027100000,997693.08,1195130.74,0.00,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549037280000,1102538.24,1195130.74,0.00,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549047390000,1102538.24,1195130.74,0.00,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549057480000,1100113.29,1195130.74,0.00,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549067600000,1089226.29,1195130.74,0.00,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549077780000,1089148.98,1195130.74,0.00,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549087950000,1089148.98,1195130.74,0.00,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549098140000,1089309.17,1195130.74,0.00,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549108270000,1089309.17,1195130.74,0.00,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549118460000,1089070.94,1195130.74,0.00,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549128610000,1088242.93,1195130.74,0.00,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549138840000,1088089.03,1195130.74,0.00,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549148920000,1088089.03,1195130.74,0.00,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549159030000,1088009.92,1195130.74,0.00,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549169280000,1086792.32,1195130.74,0.00,2709495.54,378365.39,0.00,0.00,0.00,0.00
