timestamp,​0xAaEd39DE8b2A516E7D914F2df96420f7A3204314,​0x28E65E6248A14570aCa3e421310b8808fAaE6F80,​0x7dcF30DC4A3A69B8Fe36b7C34DFC88341c9Bc0eA,​0x73cf2c29D81671774F455203009b03479DfbA225,​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,​0x028D4E22414c5fC4A0eEceE63c65adbbC2A339a7,​0xa52771C36332C1B7E1506754FB1BA775c1388915,​0xca91463ca55577E4eCEc2E50eEeb0a7033600454,​0xDf6979605aDe2B8971C2c95E90E2eA1090f244B7,​0x36C8b616c052F34a68123Cbe1C2e44eA1016DD4b,​0x2C50c7AbA38b0C7ca4B5965f2ec9457Bcd319E18,​0xf9F99f982f3Ea9020f0A0afd4D4679dFEe1B63cf,​0x4Fc89A06893A74c639050cbE2Da5B811Dba43655,​0xdDF5E0286DD171e8051D5f0EB79681D103874172,​0x22504E119C76f921D3C578734bd281DD30267276,​0x2A75FE923683625d578a96dAf8275880d6379A4f,Other
1553906880000,,,,,,,,,,,,,,,,,
1553956900000,,,,,,,,,,,,,,,,,
1554006930000,,,,,,,,,,,,,,,,,
1554056930000,,,,,,,,,,,,,,,,,
1554106960000,,,,,,,,,,,,,,,,,
1554156970000,,,,,,,,,,,,,,,,,
1554207040000,,,,,,,,,,,,,,,,,
1554257050000,,,,,,,,,,,,,,,,,
1554307050000,,,,,,,,,,,,,,,,,
1554357060000,,,,,,,,,,,,,,,,,
1554407070000,,,,,,,,,,,,,,,,,
1554457090000,,,,,,,,,,,,,,,,,
1554507100000,,,,,,,,,,,,,,,,,
1554557110000,,,,,,,,,,,,,,,,,
1554607120000,,,,,,,,,,,,,,,,,
1554657120000,,,,,,,,,,,,,,,,,
1554707130000,,,,,,,,,,,,,,,,,
1554757150000,,,,,,,,,,,,,,,,,
1554807160000,,,,,,,,,,,,,,,,,
1554857160000,,,,,,,,,,,,,,,,,
1554907170000,,,,,,,,,,,,,,,,,
1554957180000,,,,,,,,,,,,,,,,,
1555007180000,,,,,,,,,,,,,,,,,
1555057180000,,,,,,,,,,,,,,,,,
1555107180000,,,,,,,,,,,,,,,,,
1555157180000,,,,,,,,,,,,,,,,,
1555207180000,,,,,,,,,,,,,,,,,
1555257180000,,,,,,,,,,,,,,,,,
1555307180000,,,,,,,,,,,,,,,,,
1555357190000,,,,,,,,,,,,,,,,,
1555407220000,,,,,,,,,,,,,,,,,
1555457230000,,,,,,,,,,,,,,,,,
1555507260000,,,,,,,,,,,,,,,,,
1555557260000,,,,,,,,,,,,,,,,,
1555607260000,,,,,,,,,,,,,,,,,
1555657260000,,,,,,,,,,,,,,,,,
1555707270000,,,,,,,,,,,,,,,,,
1555757290000,,,,,,,,,,,,,,,,,
1555807310000,,,,,,,,,,,,,,,,,
1555857320000,,,,,,,,,,,,,,,,,
1555907330000,,,,,,,,,,,,,,,,,
1555957540000,,,,,,,,,,,,,,,,,
1556007580000,,,,,,,,,,,,,,,,,
1556057590000,,,,,,,,,,,,,,,,,
1556107640000,,,,,,,,,,,,,,,,,
1556157640000,,,,,,,,,,,,,,,,,
1556207710000,,,,,,,,,,10.00,,,0.00,,,100.00,
1556257720000,20.74,,,,,,,,,,,,,,,,
1556307780000,,239.42,,,,,,,,,,,,,,,
1556358530000,,,,,,,,,,,,,,,,,
1556410070000,,,,,,,,,,,,,,,,,
1556462340000,,,,,,,,,,100.00,,,,,,,
1556515050000,,,10010.00,,,,,,,,,,,,,,
