provider,eth
​0xdF12dcA3765Da7a3516D84D7f1d6816dac6845af,191229.78
​0x94a96F9E196a113Dec20e8bD951A0fAa21FCc7ac,78749.02
​0xa52771C36332C1B7E1506754FB1BA775c1388915,42186.30
​0xA334e40C9A9d5a82dA7a8EF4d2f2406E8CE3A45F,18201.56
​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,6162.50
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,5449.47
Other,0.97
