provider,eth
​0x73cf2c29D81671774F455203009b03479DfbA225,17178.32
​0x56C9EB634da871f7D68fEf65016616605230F79a,3138.55
​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,2750.59
​0xa52771C36332C1B7E1506754FB1BA775c1388915,1461.06
Other,138.71
