provider,eth
​0xa52771C36332C1B7E1506754FB1BA775c1388915,56279.29
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,23674.55
​0x02BC2Dc1c47C64885C7789f2F15BD3075a345Ed7,22299.95
​0x73cf2c29D81671774F455203009b03479DfbA225,21230.80
​0xf050694b4e711F4Abab3a5E0374DF5ff3C3d565c,14814.48
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,13481.39
​0x56C9EB634da871f7D68fEf65016616605230F79a,12171.51
​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,4684.22
​0xdF12dcA3765Da7a3516D84D7f1d6816dac6845af,3471.80
​0xA3C93584d62b381549f43f9c1aEc26D7DD97Fa45,1898.70
Other,1416.50
